age,gender,attitude,deep,stra,surf,points
53,F,3.7,3.5833333333333335,3.375,2.5833333333333335,25
55,M,3.1,2.9166666666666665,2.75,3.1666666666666665,12
49,F,2.5,3.5,3.625,2.25,24
53,M,3.5,3.5,3.125,2.25,10
49,M,3.7,3.6666666666666665,3.625,2.8333333333333335,22
38,F,3.8,4.75,3.625,2.4166666666666665,21
50,M,3.5,3.8333333333333335,2.25,1.9166666666666667,21
37,F,2.9,3.25,4,2.8333333333333335,31
37,M,3.8,4.333333333333333,4.25,2.1666666666666665,24
42,F,2.1,4,3.5,3,26
37,M,3.9,3.5833333333333335,3.625,2.6666666666666665,31
34,F,3.8,3.8333333333333335,4.75,2.4166666666666665,31
34,F,2.4,4.25,3.625,2.25,23
34,F,3,3.3333333333333335,3.5,2.75,25
35,M,2.6,4.166666666666667,1.75,2.3333333333333335,21
33,F,4.1,3.6666666666666665,3.875,2.3333333333333335,31
32,F,2.6,4.083333333333333,1.375,2.9166666666666665,20
44,F,2.6,3.5,3.25,2.5,22
29,M,1.7,4.083333333333333,3,3.75,9
30,F,2.7,4,3.75,2.75,24
27,M,3.9,3.9166666666666665,2.625,2.3333333333333335,28
29,M,3.4,4,2.375,2.4166666666666665,30
31,F,2.7,4,3.625,3,24
37,F,2.3,3.6666666666666665,2.75,2.4166666666666665,9
26,F,3.7,3.6666666666666665,1.75,2.8333333333333335,26
26,F,4.4,4.416666666666667,3.25,3.1666666666666665,32
30,M,4.1,3.9166666666666665,4,3,32
33,F,3.7,3.75,3.625,2,33
33,F,2.5,3.25,2.875,3.5,29
28,M,3,3.5833333333333335,3,3.75,30
26,M,3.4,4.916666666666667,1.625,2.5,19
27,F,3.2,3.5833333333333335,3.25,2.0833333333333335,23
25,F,2,2.9166666666666665,3.5,2.4166666666666665,19
31,F,2.4,3.6666666666666665,3,2.5833333333333335,12
20,M,4.2,4.5,3.25,1.5833333333333333,10
39,F,1.6,4.083333333333333,1.875,2.8333333333333335,11
38,M,3.1,3.8333333333333335,4.375,1.8333333333333333,20
24,M,3.8,3.25,3.625,2.4166666666666665,26
26,M,3.8,2.3333333333333335,2.5,3.25,31
25,M,3.3,3.3333333333333335,1.25,3.4166666666666665,20
30,F,1.7,4.083333333333333,4,3.4166666666666665,23
25,F,2.5,2.9166666666666665,3,3.1666666666666665,12
30,M,3.2,3.3333333333333335,2.5,3.5,24
48,F,3.5,3.8333333333333335,4.875,2.6666666666666665,17
24,F,3.2,3.6666666666666665,5,2.4166666666666665,29
40,F,4.2,4.666666666666667,4.375,3.5833333333333335,23
25,M,3.1,3.75,3.25,2.0833333333333335,28
23,F,3.9,3.4166666666666665,4,3.75,31
25,F,1.9,4.166666666666667,3.125,2.9166666666666665,23
23,F,2.1,2.9166666666666665,2.5,2.9166666666666665,25
27,M,2.5,4.166666666666667,3.125,2.4166666666666665,18
25,M,3.2,3.5833333333333335,3.25,3,19
23,M,3.2,2.8333333333333335,2.125,3.4166666666666665,22
23,F,2.6,4,2.75,2.9166666666666665,25
23,F,2.3,2.9166666666666665,2.375,3.25,21
45,F,3.8,3,3.125,3.25,9
22,F,2.8,4.083333333333333,4,2.3333333333333335,28
23,F,3.3,2.9166666666666665,4,3.25,25
21,M,4.8,3.5,2.25,2.5,29
21,M,4,4.333333333333333,3.25,1.75,33
21,F,4,4.25,3.625,2.25,33
21,F,4.7,3.4166666666666665,3.625,2.0833333333333335,25
26,F,2.3,3.0833333333333335,2.5,2.8333333333333335,18
25,F,3.1,4.583333333333333,1.875,2.8333333333333335,22
26,F,2.7,3.4166666666666665,2,2.4166666666666665,17
21,M,4.1,3.4166666666666665,1.875,2.25,25
23,F,3.4,3.4166666666666665,4,2.8333333333333335,28
22,F,2.5,3.5833333333333335,2.875,2.25,22
22,F,2.1,1.5833333333333333,3.875,1.8333333333333333,26
22,F,1.4,3.3333333333333335,2.5,2.9166666666666665,11
23,F,1.9,4.333333333333333,2.75,2.9166666666666665,29
22,M,3.7,4.416666666666667,4.5,2.0833333333333335,22
23,M,3.2,4.833333333333333,3.375,2.3333333333333335,21
24,M,2.8,3.0833333333333335,2.625,2.4166666666666665,28
22,F,4.1,3,4.125,2.75,33
23,F,2.5,4.083333333333333,2.625,3.25,16
22,M,2.8,4.083333333333333,2.25,1.75,31
20,M,3.8,3.75,2.75,2.5833333333333335,22
22,M,3.1,3.0833333333333335,3,3.3333333333333335,31
21,M,3.5,4.75,1.625,2.8333333333333335,23
22,F,3.6,4.25,1.875,2.5,26
23,F,2.6,4.166666666666667,3.375,2.4166666666666665,12
21,M,4.4,4.416666666666667,3.75,2.4166666666666665,26
22,M,4.5,3.8333333333333335,2.125,2.5833333333333335,31
29,M,3.2,3.3333333333333335,2.375,3,19
29,F,3.9,3.1666666666666665,2.75,2,30
21,F,2.5,3.1666666666666665,3.125,3.4166666666666665,12
